k6ps14_1.PV;k6t17.PV;k6t15.PV;k6t16.PV;k6p8.PV;k6l2.PV;k6p13.PV;k6t2_1.PV;k6f6x.PV;k0p102_1.PV;k6f6.PV;k6t6.PV;k6t14.PV;k6t3.PV
4.13;156.91;104.32;104.45;4.12;179.74;4.04;418.14;21.19;3.98;21.96;204.8;390.77;274.89
4.13;156.31;103.46;103.47;4.12;177.89;4.04;417.97;21.18;3.98;21.95;204.67;391;274.79
4.13;156.74;104.06;103.67;4.12;179.49;4.04;417.67;21.18;3.98;21.95;204.87;390.71;274.72
4.13;155.9;104.84;103.43;4.12;179.6;4.04;418.54;21.21;3.98;21.97;204.5;391.37;275.02
4.13;156.44;103.62;103.54;4.12;179.06;4.04;417.98;21.16;3.98;21.93;204.65;390.96;274.77
4.13;156.96;104.41;104.03;4.12;178.13;4.04;418.14;21.15;3.98;21.92;205.21;391.27;274.91
4.12;155.35;103.31;102.42;4.12;179.51;4.04;417.97;21.16;3.98;21.91;204.12;391.24;274.6
4.13;156.61;104.95;103.97;4.12;179.54;4.04;418.17;21.08;3.98;21.84;204.84;391.42;274.91
4.13;157;104.84;104.17;4.12;178.94;4.04;418.82;21.21;3.98;21.97;205.25;391.88;275.13
4.12;156.57;105.33;103.57;4.11;180.03;4.03;418.55;21.32;3.97;22.05;205.05;391.73;274.93
4.12;156.27;105.68;103.87;4.11;180.46;4.03;418.32;21.4;3.97;22.15;204.43;390.88;274.83
4.13;156.51;105.63;103.76;4.12;179.22;4.04;418.89;21.57;3.98;22.33;204.19;390.91;275.05
4.15;156.56;105.78;104.07;4.15;180.5;4.07;419.23;21.42;4.01;22.24;205.02;391.43;275.48
4.14;155.86;105.24;103.39;4.13;179.72;4.05;419.49;21.51;3.99;22.28;204.07;391.51;275.28
4.14;156.4;105.36;103.5;4.13;180.52;4.05;419.36;21.45;3.99;22.22;204.35;391.65;275.27
4.13;155.92;105.25;103.17;4.13;180.53;4.04;419.17;21.49;3.99;22.27;204.2;391.55;275.2
4.14;156.13;105.51;103.39;4.13;179.95;4.05;418.87;21.37;3.99;22.15;204.65;391.47;275.16
4.14;156.61;106.06;104.15;4.13;180.3;4.05;419;21.46;3.99;22.25;204.81;391.29;275.34
4.13;155.83;105.22;103.23;4.13;180.9;4.05;419.07;21.31;3.99;22.08;204.12;391.59;275.2
4.14;156.25;105.34;103.57;4.13;180.61;4.05;418.81;21.43;3.99;22.22;204.2;390.95;275.24
4.14;156.99;105.42;104.29;4.13;180.33;4.05;418.88;21.3;3.99;22.09;205.1;391.54;275.36
4.14;156.88;106;104.18;4.13;180.1;4.05;418.87;21.29;4;22.08;205.21;391.61;275.42
4.14;156.6;105.77;104.09;4.13;180.68;4.05;418.51;21.23;3.99;22.02;205.04;391.19;275.23
4.14;157.28;105.5;104.77;4.13;178.4;4.06;418.5;21.19;3.99;21.99;205.21;391.24;275.27
4.13;157.15;105.22;104.11;4.12;179.6;4.05;418.58;21.18;3.98;21.95;205.44;391.72;275.25
4.14;156.67;104.74;103.82;4.13;178.51;4.05;418.72;21.18;3.99;21.98;205.17;391.49;275.23
4.13;156.86;104.79;104.09;4.13;179.32;4.05;418.41;21.13;3.98;21.92;205.29;391.14;275.03
4.13;156.84;104.76;104.21;4.12;178.61;4.05;418.83;21.19;3.98;21.95;205.56;391.75;275.15
4.12;156.81;104.56;103.99;4.12;178.54;4.04;418.24;21.14;3.97;21.9;205.05;391.04;274.85
4.12;157.15;104.1;104.1;4.12;179.28;4.04;418.65;21.07;3.97;21.83;205.68;391.79;275.01
4.12;157.38;105.46;104.56;4.11;178.28;4.03;418.17;21.2;3.97;21.94;205.25;391.17;274.81
4.12;157.14;105.53;104.06;4.11;178.69;4.03;418.46;21.32;3.97;22.07;205.32;391.34;275.04
4.13;156.35;104.96;103.73;4.12;180.15;4.04;417.97;21.21;3.98;21.98;204.81;390.75;274.84
4.13;156.52;104.9;103.82;4.12;179.17;4.04;418.23;21.22;3.98;21.98;204.47;391.07;274.89
4.14;156.97;105.14;104.05;4.13;179.87;4.05;418.87;21.33;3.99;22.12;205;391.38;275.24
4.13;156.75;104.95;103.9;4.12;178.58;4.04;418.09;21.25;3.98;22.03;205.02;391.05;274.97
4.14;156.14;104.62;103.47;4.13;179.9;4.05;418.85;21.31;3.99;22.11;204.28;391.18;275.15
4.14;156.26;104.42;103.52;4.13;180.8;4.05;418.55;21.29;3.99;22.09;204.16;390.84;275.05
4.14;156.51;104.82;103.73;4.13;180.03;4.05;418.89;21.39;3.99;22.17;204.55;391.16;275.13
4.13;157.02;104.99;104.08;4.13;178.8;4.05;417.75;21.28;3.98;22.07;204.92;390.42;274.88
4.13;156.74;104.95;104.06;4.13;179.02;4.05;417.67;21.25;3.99;22.05;204.74;390.25;274.85
4.14;156.48;104.97;103.92;4.13;180.71;4.05;418.55;21.24;3.99;22.04;204.49;391.24;275.25
4.14;156.93;104.89;104.03;4.13;179.61;4.05;417.98;21.09;3.99;21.89;204.99;391.3;275.13
4.14;156.31;105.22;103.43;4.14;179.92;4.06;417.21;21.18;4;22;204.22;390.21;274.83
4.14;157.14;106.45;104.52;4.13;179.47;4.05;417.01;21.14;4;21.96;204.91;389.93;274.86
4.14;157.22;106.85;104.94;4.13;178.99;4.05;417.25;21.03;4.01;21.83;204.65;390.24;274.95
4.14;156.86;106.18;104.09;4.13;178.53;4.05;417.27;21.11;4;21.92;204.55;390.31;274.83
4.13;155.66;105.55;103.1;4.13;180.15;4.05;417.6;21.11;4;21.9;203.78;390.67;274.92
4.14;156.46;106.22;103.83;4.13;180.55;4.05;417;21.01;4;21.82;204.09;389.99;274.69
4.14;157.04;105.63;104.23;4.13;179.29;4.05;418.2;21.14;3.99;21.94;204.67;391.19;275.19
4.14;156.46;102.26;103.66;4.13;179.34;4.05;417.16;20.93;3.99;21.74;204.65;390.4;274.59
4.12;156.58;104.99;103.77;4.11;179.92;4.04;417.1;20.96;3.98;21.72;204.65;391.02;274.68
4.13;156.01;105.12;103.46;4.13;180.4;4.05;416.88;20.91;3.99;21.71;204.12;390.2;274.66
4.14;156.53;103.98;103.87;4.14;179.64;4.06;417.5;20.93;4;21.74;204.35;390.94;274.94
4.14;157.16;103.31;104.22;4.13;178.32;4.05;416.35;20.88;3.99;21.7;204.78;389.83;274.49
4.12;156.61;105;103.86;4.12;178.27;4.04;416.41;20.82;3.99;21.6;204.52;390.36;274.5
4.11;156.66;105.84;103.6;4.1;178.55;4.02;416.32;21.02;3.97;21.75;204.53;390.03;274.27
4.12;156.92;106.48;104.13;4.11;179.14;4.03;416.05;20.98;3.98;21.75;204.84;389.94;274.34
4.12;157.76;107.16;105.07;4.12;178.05;4.04;416.31;21.07;3.99;21.86;205.02;389.82;274.51
4.12;157.12;106.61;104.25;4.12;178.21;4.04;416.58;21.11;3.99;21.89;204.73;390.03;274.53
4.13;157.25;106.89;104.44;4.12;179.15;4.04;416.6;21.2;3.99;21.99;204.68;389.58;274.51
4.13;157.65;107.14;104.85;4.12;179.07;4.04;417.04;21.18;4;21.98;205.12;390;274.83
4.13;157.62;106.98;104.74;4.12;178.91;4.04;416.09;21.12;3.99;21.91;204.92;389.31;274.46
4.13;156.94;106.49;104.1;4.12;179.12;4.04;417.32;21.2;3.99;21.98;204.88;390.45;274.83
4.13;157.17;106.9;104.45;4.13;178.74;4.05;416.62;21.19;4;22;204.76;389.35;274.6
4.13;157.24;107.01;104.75;4.12;179.03;4.04;417.02;21.12;4;21.91;204.87;390.17;274.77
4.12;157.1;106.81;104.22;4.11;178.09;4.03;417.09;21.18;3.98;21.94;204.73;390.35;274.7
4.13;157.48;107.22;104.73;4.12;177.82;4.04;416.66;21.24;3.99;22.03;204.86;389.58;274.75
4.14;157.68;107.3;104.87;4.13;178.43;4.05;416.94;21.19;4.01;22.01;205.07;389.64;274.93
4.13;157.33;107.22;104.64;4.13;179.14;4.05;417.13;21.11;4;21.91;205.36;390.42;275.03
4.13;157.04;107.07;104.37;4.12;177.76;4.04;416.5;21.11;4;21.9;204.47;389.73;274.65
4.12;157.18;106.99;104.35;4.11;178.28;4.03;416.81;21.12;3.99;21.88;204.74;390.42;274.71
4.12;157.43;106.47;104.47;4.11;178.85;4.03;416.48;21.02;3.98;21.78;205.14;390.72;274.65
4.12;157.06;106.12;104.28;4.12;179.01;4.04;416.05;21.15;3.99;21.94;204.88;389.5;274.4
4.13;157.25;106.24;104.6;4.12;177.85;4.04;416.98;21.07;3.99;21.84;205.19;390.69;274.82
4.12;157.39;106.6;104.44;4.11;178.07;4.03;416.8;21.03;3.99;21.78;205.01;390.85;274.67
4.11;156.83;106.22;103.77;4.11;179.57;4.03;416.59;21.06;3.98;21.81;204.75;390.61;274.48
4.11;156.63;105.65;103.5;4.11;178.26;4.03;416.81;21.03;3.98;21.78;204.53;390.89;274.47
4.12;156.87;105.52;103.9;4.11;179.23;4.03;416.61;21.17;3.98;21.93;205.04;389.9;274.39
4.12;157.15;106.15;104.53;4.11;178.39;4.03;416.74;21.14;3.98;21.89;204.94;390.26;274.47
4.11;156.59;106.01;103.56;4.1;178.56;4.02;417.4;21.23;3.97;21.97;204.26;390.66;274.52
4.11;157.81;106.89;104.79;4.11;178.58;4.03;417.98;21.41;3.97;22.14;205.68;391.02;274.85
4.12;156.17;105.89;103.47;4.11;179.11;4.03;418.01;21.35;3.98;22.1;204.37;390.54;274.78
4.12;156.09;105.52;103.15;4.11;179.13;4.03;417.81;21.39;3.97;22.13;204.03;390.32;274.65
4.13;156.68;106.12;103.73;4.13;178.89;4.04;418.45;21.51;3.99;22.29;204.58;390.56;275.03
4.13;156.91;106.39;104.18;4.13;179.47;4.04;418.33;21.43;3.99;22.22;204.71;390.67;275.03
4.14;156.92;106.36;104.17;4.13;178.97;4.05;417.91;21.42;3.99;22.21;204.93;390.2;275
4.14;156.53;106.15;103.91;4.13;180.71;4.05;418.33;21.46;4;22.27;204.49;390.33;275.1
4.14;156;105.63;103.17;4.13;180.09;4.05;418.51;21.46;4;22.25;204.22;390.69;275.05
4.14;156.31;106.1;103.68;4.13;180.01;4.05;418.31;21.37;4;22.17;204.46;390.66;275.07
4.14;157.22;106.52;104.51;4.14;179.66;4.05;418.79;21.43;4;22.23;204.77;391.01;275.33
4.13;156.57;105.96;103.68;4.13;179.81;4.05;418.25;21.39;3.99;22.17;204.85;390.91;275.16
4.14;156.67;106.46;104.18;4.14;179.57;4.06;417.9;21.38;4;22.19;204.62;390.22;275.06
4.14;156.42;105.87;103.73;4.14;179.57;4.06;418.21;21.31;4;22.12;204.51;390.88;275.13
4.14;156.96;106.19;104.23;4.13;179.89;4.05;417.61;21.31;4;22.12;204.56;390.2;274.9
4.14;157.26;105.68;104.31;4.13;178.67;4.05;418.11;21.26;3.99;22.05;205.31;391.13;275.14
4.13;156.57;104.77;103.61;4.13;179.08;4.05;417.87;21.13;3.99;21.91;204.94;391.2;274.92
4.13;157.21;105.93;104.56;4.12;178.5;4.04;417.87;21.25;3.98;22.02;205.25;390.86;274.91
4.13;157.03;104.53;104.26;4.12;179.17;4.04;417.86;21.24;3.98;22.03;204.81;390.68;274.8
4.13;156.93;103.98;103.94;4.12;176.85;4.04;418.39;21.12;3.97;21.89;205.48;391.58;274.95
4.11;157.27;103.98;104.12;4.1;178.15;4.03;417.81;21.16;3.96;21.89;205.46;391.49;274.65
4.11;157.43;103.83;104.31;4.11;177.43;4.03;417.2;21.1;3.96;21.85;205.53;390.71;274.43
4.1;157.79;104.44;104.89;4.1;179.35;4.02;417.09;21.09;3.95;21.81;206.08;390.74;274.39
4.11;157.36;104.93;104.49;4.1;177.88;4.02;417.04;21.11;3.96;21.84;205.34;390.65;274.4
4.1;157.14;104.03;104.05;4.1;177.79;4.02;417.61;21.23;3.95;21.95;205.34;390.92;274.47
4.1;156.69;104.33;103.92;4.09;178.96;4.01;417.58;21.32;3.95;22.02;204.52;390.69;274.4
4.12;156.83;105.15;103.86;4.12;179.32;4.04;417.88;21.4;3.97;22.17;204.58;390.67;274.73
4.13;156.92;105.94;104.13;4.12;178.53;4.04;418.14;21.51;3.98;22.29;204.93;390.45;274.83
4.13;156.76;105.72;103.94;4.13;178.64;4.04;418.72;21.51;3.98;22.29;204.7;391.01;275.08
4.13;156.13;105.7;103.62;4.12;179.49;4.04;418.15;21.51;3.98;22.28;204.18;390.25;274.78
4.14;157.05;106.09;104.17;4.14;178.57;4.05;418.68;21.53;4;22.33;204.77;390.76;275.23
4.14;156.27;105.87;103.78;4.13;178.92;4.05;418.69;21.49;4;22.28;204.41;390.63;275.13
4.14;156.47;106;103.83;4.14;179.48;4.05;418.62;21.48;4;22.29;204.39;390.74;275.17
4.14;156.76;106.28;104.08;4.13;180.02;4.05;418.22;21.48;4;22.28;204.5;390.17;275.02
4.14;156.39;105.76;103.48;4.13;179.83;4.05;418.9;21.45;4;22.25;204.32;391.23;275.2
4.13;156.46;105.85;103.48;4.13;180.54;4.05;418.26;21.42;3.99;22.22;204.55;391.02;275.03
4.14;156.65;106.28;103.88;4.13;179.61;4.05;417.96;21.42;3.99;22.22;204.61;390.5;274.92
4.14;156.78;106.55;104.43;4.13;179.17;4.05;418.8;21.43;4;22.23;204.87;391.08;275.29
4.13;156.99;105.58;104.23;4.13;179.54;4.05;420.54;21.31;3.99;22.06;205.67;393.47;275.97
4.12;157.18;104.66;103.9;4.11;179.18;4.04;419.9;21.27;3.97;22;206.2;393.3;275.61
4.11;155.99;104.39;103.19;4.11;180.54;4.03;419.97;21.28;3.96;21.98;204.95;393.28;275.45
4.11;157.17;105.13;103.9;4.11;179.49;4.03;420.21;21.23;3.97;21.93;206.28;393.91;275.65
4.11;156.93;104.24;103.92;4.11;178.7;4.03;420.21;21.25;3.96;21.95;205.92;393.36;275.57
4.11;156.7;104.1;103.68;4.1;178.05;4.02;419.86;21.17;3.95;21.86;206.07;393.39;275.31
4.11;156.37;103.75;103.22;4.11;179.19;4.03;420.5;21.15;3.96;21.85;205.5;393.99;275.61
4.11;157.02;104;103.73;4.1;178.91;4.03;420.5;21.22;3.96;21.91;206.39;393.76;275.66
4.11;157.15;104.81;104.18;4.11;178.52;4.03;420.14;21.25;3.96;21.95;206.25;393.38;275.49
4.12;156.48;105.25;103.72;4.11;179.18;4.03;420.7;21.29;3.97;21.99;205.74;393.77;275.75
4.12;156.39;105.05;103.4;4.11;180.92;4.03;420.1;21.3;3.97;22.03;205.21;393.28;275.56
4.13;157.19;105.94;104.13;4.13;179.08;4.05;421.04;21.42;3.99;22.16;206.24;393.85;276.08
4.14;157.5;106.35;104.93;4.13;179;4.05;420.7;21.47;3.99;22.24;206.42;393.16;276.02
4.14;156.42;104.99;103.6;4.13;180.15;4.05;421.19;21.4;3.99;22.14;205.44;393.84;275.99
4.15;155.94;104.57;102.99;4.14;180.52;4.06;421.72;21.36;4;22.12;205.34;394.34;276.33
4.14;156.08;104.98;103.22;4.14;180.91;4.06;421.21;21.36;4;22.13;205.43;393.93;276.13
4.14;156.8;105.15;104.18;4.13;179.83;4.05;420.96;21.37;3.99;22.13;205.76;393.45;276.06
4.14;157.31;105.9;104.61;4.13;178.54;4.05;420.24;21.46;3.99;22.23;205.98;392.68;275.88
4.14;157.33;106.34;104.8;4.13;180.3;4.05;420.56;21.46;3.99;22.22;205.78;392.89;275.96
4.13;157.38;106.04;104.65;4.12;178.65;4.04;420.51;21.48;3.98;22.23;205.94;393.17;275.87
4.13;157.15;105.81;104.42;4.12;179.25;4.04;420.36;21.41;3.98;22.15;205.96;393.24;275.77
4.14;157.38;106.24;104.62;4.13;178.91;4.05;420.15;21.4;3.99;22.18;205.67;392.78;275.87
4.14;156.25;105.1;103.26;4.13;180.27;4.05;420.46;21.39;3.99;22.16;205.18;393.32;275.86
4.14;156.28;105.66;103.47;4.13;179.24;4.05;419.99;21.39;3.99;22.16;204.92;392.63;275.71
4.13;156.24;105.69;103.34;4.12;179.26;4.04;419.57;21.37;3.99;22.12;205.21;392.52;275.51
4.12;156.46;105.98;103.81;4.12;179.77;4.04;419.7;21.31;3.98;22.05;205.49;392.88;275.57
4.13;157.09;106.44;104.39;4.12;179;4.04;419.51;21.33;3.99;22.08;205.6;392.52;275.59
4.13;156.77;105.1;103.82;4.13;178.77;4.05;419.65;21.32;3.99;22.08;205.21;392.68;275.64
4.14;156.65;104.91;103.5;4.13;179.28;4.05;419.67;21.19;3.99;21.96;205.61;393.19;275.67
4.13;156.51;105.89;103.8;4.12;179.55;4.04;418.88;21.06;3.99;21.82;205.62;392.6;275.42
4.13;156.99;106.14;104.02;4.12;178.45;4.04;419.47;21.19;3.99;21.93;205.79;393;275.61
4.13;157.32;106.43;104.56;4.12;178.33;4.04;419.21;21.16;3.99;21.92;205.83;392.59;275.55
4.12;156.78;105.6;103.65;4.11;178.09;4.03;419.05;21.07;3.98;21.79;205.47;392.94;275.3
4.1;156.83;105.82;103.53;4.09;179.15;4.01;419.22;21.31;3.96;21.99;205.66;392.95;275.14
4.1;156.91;105.91;103.8;4.09;177.98;4.01;419.34;21.23;3.96;21.91;205.8;393.06;275.22
4.1;156.61;105.66;103.5;4.1;179.34;4.02;419.37;21.34;3.96;22.03;205.47;392.81;275.2
4.11;156.74;106.34;104.08;4.11;179.02;4.02;419.45;21.5;3.97;22.21;205.45;392.3;275.31
4.12;156.97;106.16;104.22;4.11;178.83;4.03;420.2;21.49;3.97;22.2;205.42;393.08;275.55
4.12;157.14;106.25;104.28;4.11;177.76;4.03;419.73;21.55;3.97;22.28;205.56;392.22;275.44
4.12;157.11;106.49;104.37;4.12;178.67;4.03;419.78;21.65;3.98;22.39;205.65;391.88;275.45
4.12;157.3;106.72;104.87;4.12;178.58;4.04;420.41;21.63;3.98;22.36;205.73;392.71;275.73
4.13;156.66;105.95;103.82;4.12;177.99;4.04;420.07;21.53;3.98;22.28;204.97;392.56;275.59
4.15;157.08;106.33;104.25;4.14;179.69;4.06;420.21;21.57;4;22.36;205.7;392.51;275.9
4.14;157.05;106.56;104.57;4.13;178.73;4.05;419.8;21.47;3.99;22.25;205.66;392.05;275.69
4.13;156.84;106.36;104.23;4.12;179.55;4.04;420.03;21.54;3.99;22.29;205.38;392.62;275.72
4.13;157.16;106.53;104.46;4.13;178.28;4.05;418.53;21.56;3.99;22.34;204.75;390.61;275.1
4.13;157.39;106.72;104.62;4.12;178.94;4.04;417.78;21.61;3.98;22.38;204.55;389.65;274.63
4.13;156.22;105.87;103.38;4.12;179.01;4.04;417.31;21.52;3.99;22.32;203.74;389.34;274.42
4.12;157.45;106.84;104.61;4.12;178.95;4.03;416.76;21.42;3.98;22.21;204.78;389.58;274.41
4.12;156.79;106.3;103.96;4.11;178.48;4.03;417.2;21.55;3.97;22.3;204.37;389.78;274.38
4.12;157.57;106.92;104.75;4.11;179.37;4.03;417;21.43;3.97;22.19;204.96;389.78;274.35
4.12;157.26;106.42;104.55;4.11;178.2;4.03;417.07;21.52;3.97;22.29;204.77;389.46;274.35
4.11;157.08;105.9;104.27;4.11;179.1;4.03;416.98;21.35;3.97;22.11;204.93;390.33;274.38
4.12;156.74;105.07;103.84;4.11;178.49;4.03;416.59;21.34;3.97;22.11;204.28;389.76;274.18
4.12;156.48;105.76;103.81;4.11;179.09;4.03;416.96;21.42;3.97;22.19;203.99;389.49;274.21
4.11;157.4;106.06;104.46;4.11;179.07;4.03;416.86;21.4;3.97;22.14;204.78;389.97;274.31
4.11;157.4;105.91;104.39;4.1;178.6;4.02;416.81;21.41;3.96;22.15;205.03;389.96;274.22
4.12;156.42;105.25;103.53;4.11;179.03;4.03;417.17;21.31;3.97;22.07;204.43;390.51;274.42
4.13;156.83;105.89;104.06;4.12;179.48;4.04;416.87;21.42;3.99;22.22;204.43;389.61;274.41
4.14;156.87;106.15;104.3;4.13;179.69;4.05;417.67;21.49;3.99;22.3;204.49;389.86;274.67
4.13;156.93;105.97;104.38;4.13;179.23;4.04;418.53;21.61;3.99;22.4;204.32;390.28;274.83
4.13;156.56;105.52;103.67;4.13;179.95;4.04;418.51;21.64;3.98;22.43;204.1;390.4;274.77
4.14;156.49;105.55;103.81;4.14;179.18;4.05;418.43;21.55;4;22.36;204.15;390.31;274.94
4.14;156.5;105.76;104.02;4.13;178.91;4.05;418.68;21.67;3.99;22.47;204.26;390.12;274.9
4.14;156.11;105.34;103.55;4.13;178.96;4.05;418.65;21.52;3.99;22.31;204;390.5;274.9
4.14;156.17;105.43;103.63;4.14;179.45;4.06;418.52;21.53;4;22.34;203.96;390.39;274.98
4.14;156.25;105.45;103.55;4.14;180.08;4.05;418.55;21.58;3.99;22.38;203.86;390.2;274.95
4.13;156.71;105.8;103.9;4.13;180.18;4.05;417.82;21.44;3.99;22.23;204.47;390.53;274.78
4.14;156.77;105.98;104;4.14;179.94;4.05;418.37;21.56;4;22.37;204.57;390.24;275
4.14;156.17;105.68;103.66;4.13;180.37;4.05;418.32;21.47;3.99;22.26;204.27;390.44;274.85
4.14;156.43;105.97;103.95;4.13;179.88;4.05;418.46;21.51;3.99;22.31;204.17;390.45;275.01
4.14;156.81;105.7;103.89;4.13;179.04;4.05;417.88;21.4;3.99;22.2;204.63;390.58;274.82
4.13;156.49;105.41;103.35;4.12;179.08;4.04;418.11;21.49;3.98;22.27;204.75;390.65;274.78
4.12;156.8;105.39;104.22;4.11;179.28;4.04;417.8;21.38;3.97;22.14;204.82;390.39;274.55
4.13;157.23;105.39;104.5;4.12;177.8;4.04;417.76;21.36;3.97;22.14;204.91;390.41;274.74
4.13;156.17;104.71;103.09;4.12;178.53;4.04;418;21.3;3.98;22.07;204.24;391.05;274.76
4.13;157.2;105.05;104.22;4.12;178.78;4.04;417.69;21.29;3.97;22.07;205.05;390.31;274.68
4.13;156.47;104.43;103.38;4.12;178.56;4.04;417.75;21.28;3.97;22.04;204.57;390.49;274.61
4.13;156.68;104.88;103.67;4.12;178.22;4.04;417.35;21.24;3.97;22.01;204.85;390.2;274.52
4.14;157.36;105.42;104.63;4.13;178.26;4.05;417.88;21.13;3.99;21.92;205.49;390.97;274.96
4.13;156.54;104.28;103.62;4.12;178.14;4.04;417.91;21;3.98;21.78;204.79;391.18;274.75
4.11;155.86;103.85;102.77;4.1;179.23;4.02;418.4;21.07;3.96;21.79;204.61;391.78;274.67
4.12;156.51;104.68;103.66;4.11;179.74;4.04;416.91;21.12;3.97;21.88;204.27;390.26;274.34
4.12;156.64;104.29;103.62;4.12;179.13;4.04;418.95;21.13;3.97;21.9;204.84;392.34;275.14
4.13;156.39;104.57;103.36;4.12;178.83;4.04;418.2;21.21;3.98;21.98;204.77;391.64;274.91
4.13;156.33;105.69;103.77;4.12;179.5;4.05;418.12;21.22;3.99;22;204.63;391.11;275.06
4.14;156.72;106.09;104.18;4.13;179.36;4.05;418.3;21.24;4;22.03;204.65;391.26;275.12
4.14;157.13;106.14;104.46;4.13;179.65;4.05;418.22;21.22;4;22.02;204.9;391.22;275.24
4.13;156.4;105.84;103.61;4.13;178.94;4.05;418.12;21.25;4;22.04;204.4;391.16;275.15
4.13;156.59;105.78;103.64;4.12;179.8;4.04;417.85;21.12;3.99;21.9;204.81;391.44;275.12
4.14;156.73;106.65;104.36;4.13;180.12;4.05;417.73;21.24;4;22.04;204.88;390.68;275.15
4.14;156.84;106.68;104.22;4.14;178.84;4.06;417.89;21.18;4.01;21.99;204.38;390.93;275.23
4.14;157.19;106.97;104.47;4.13;179.27;4.05;417.68;21.18;4.01;22;205.17;391.03;275.23
4.14;156.61;106.68;104.05;4.13;179.49;4.05;418.13;21.22;4;22.02;204.55;391.16;275.3
4.14;156.71;106.86;104.16;4.13;179.93;4.05;417.62;21.16;4;21.95;204.54;390.79;275.13
4.13;156.95;106.52;104.43;4.12;179.88;4.05;416.62;21.03;4;21.83;204.57;390.19;274.83
4.13;157.02;106.57;104.26;4.12;180.03;4.04;417.29;21.16;4;21.94;204.59;390.63;274.94
4.13;157.34;106.88;104.67;4.12;179.41;4.04;416.97;21.07;4;21.85;204.87;390.46;274.94
4.13;157.11;106.62;104.26;4.13;179.41;4.05;416.76;21.05;4;21.85;205.08;390.54;274.88
4.14;157.16;106.41;104.39;4.13;180.24;4.05;417.68;21.05;4;21.84;205.1;391.24;275.19
4.13;157.17;106.55;104.6;4.13;179.79;4.05;417.03;21.02;4;21.81;205.17;390.66;274.94
4.13;156.82;105.25;104.14;4.13;179.01;4.05;417.3;20.97;3.99;21.76;204.53;391;274.91
4.13;156.7;105.64;104.08;4.12;179.91;4.04;417.84;21.02;3.99;21.8;204.71;391.02;275.22
4.13;156.46;105.59;103.91;4.13;181.15;4.05;417.65;20.97;4;21.76;204.7;391.02;275.23
4.12;156.39;105.36;103.88;4.11;180.83;4.03;417.92;21.07;3.98;21.81;204.4;391.06;275.13
4.13;156.11;104.98;103.64;4.12;180.91;4.04;417.58;21.09;3.99;21.86;204.12;390.63;275.04
4.13;156.27;104.75;103.83;4.12;180.52;4.04;417.59;21;3.99;21.77;204.09;390.54;274.98
4.14;156.81;106.03;104.1;4.13;180.19;4.05;417.88;21.1;4;21.88;204.91;390.76;275.35
4.13;156.45;106.2;104.22;4.13;178.88;4.05;417.06;21.04;4;21.84;204.54;390.03;275.02
4.13;156.58;106.11;104.02;4.12;178.59;4.04;417.74;21.06;4;21.82;204.36;390.61;275.17
4.13;156.34;106.22;103.7;4.12;179.37;4.04;418.12;21.16;3.99;21.93;204.53;390.87;275.29
4.13;156.72;106.01;103.92;4.12;179.28;4.04;417.39;21.05;3.99;21.83;204.67;390.6;275.04
4.13;157.16;106.98;104.77;4.12;179.61;4.04;417.74;21.16;4;21.95;205.22;390.27;275.27
4.13;156.46;106.33;104.16;4.13;177.96;4.05;417.62;21.05;4;21.84;204.23;390.32;275.15
4.13;156.23;105.94;103.53;4.13;179.43;4.05;417.86;21.08;4;21.87;204.11;390.61;275.14
4.14;156.61;106.24;103.86;4.13;179.16;4.06;418.03;21.09;4.01;21.89;205.03;390.84;275.45
4.14;156.67;106.58;104.41;4.13;178.68;4.05;417.73;21.05;4.01;21.85;204.57;390.4;275.27
4.14;156.78;106.26;103.98;4.13;178.67;4.05;418.19;21.15;4.01;21.94;204.58;390.6;275.34
4.13;155.61;105.59;103.1;4.13;179.32;4.05;417.76;21;4;21.79;204.19;390.84;275.21
4.14;156.44;106.17;103.91;4.13;178.97;4.05;417.9;21.04;4.01;21.83;204.39;390.72;275.36
4.13;156.57;106.2;103.86;4.13;179.17;4.05;417.95;21.06;4;21.85;204.6;390.67;275.27
4.13;155.65;105.83;103.35;4.13;181.26;4.05;417.68;20.95;4;21.74;204.16;390.7;275.15
4.14;156.61;106.25;104.16;4.14;180.31;4.06;418.17;21.04;4.01;21.84;204.5;390.86;275.37
4.13;156.1;105.62;103.24;4.12;178.93;4.05;419.51;20.97;4;21.73;205.11;392.96;275.78
4.12;156.88;106.19;104.23;4.11;177.75;4.03;418.81;20.88;3.98;21.6;205.52;392.5;275.52
4.12;155.74;105.39;103.02;4.11;179.91;4.04;419.31;20.93;3.99;21.66;205.1;392.77;275.6
4.12;156.06;105.74;103.6;4.12;179.14;4.04;419.25;20.97;3.99;21.71;205.02;392.88;275.75
4.13;155.72;105.41;103.06;4.12;179.64;4.04;419.61;21.03;3.99;21.77;204.68;392.68;275.69
4.13;155.85;105.45;103.19;4.13;180.97;4.05;419.74;21.03;4;21.78;204.7;393.08;275.88
4.13;157.04;106.92;104.47;4.12;179.16;4.04;419.8;21.19;3.99;21.93;205.42;392.33;275.92
4.13;156.8;107.41;104.72;4.13;178.8;4.04;421.99;21.86;3.99;22.58;205.06;392.57;276.53
4.13;156.18;106.94;104.23;4.13;179.38;4.04;422.52;21.8;3.99;22.52;204.77;393.58;276.75
