k6ps14_1.PV;k6t17.PV;k6t15.PV;k6t16.PV;k6p8.PV;k6l2.PV;k6p13.PV;k6t2_1.PV;k6f6x.PV;k0p102_1.PV;k6f6.PV;k6t6.PV;k6t14.PV;k6t3.PV
4.11;152.14;99.46;104.39;4.1;183.84;4.03;419.73;19.71;3.98;20.38;200.43;386.07;277.83
4.11;151.31;98.51;103.33;4.1;182.98;4.03;419.57;19.68;3.98;20.34;199.73;385.96;277.59
4.11;152.31;99.64;105.1;4.1;183.75;4.04;420.19;19.63;3.98;20.3;200.25;386.48;278.06
4.11;150.8;98.46;103.6;4.11;183.45;4.04;420.49;19.56;3.99;20.23;199.11;386.75;278
4.1;151.11;98.9;103.54;4.1;184.31;4.03;420.23;19.65;3.98;20.3;199.25;386.48;277.9
4.12;151;98.75;103.44;4.11;185.93;4.05;420.81;19.61;4;20.3;199.2;387.05;278.39
4.13;150.53;98.63;103.21;4.13;185.35;4.06;420.84;19.56;4.01;20.27;198.97;386.79;278.34
4.13;150.95;99.08;103.68;4.13;184.23;4.06;421.31;19.58;4.01;20.28;199.46;387.22;278.61
4.12;151.01;97.74;103.54;4.12;182.91;4.05;420.6;19.54;4;20.23;199.27;386.8;278.12
4.12;150.63;98.27;103.15;4.11;183.72;4.04;421.1;19.51;4;20.18;199.45;387.77;278.46
4.12;150.82;100.2;103.34;4.12;182.88;4.05;420.87;19.51;4.01;20.18;199.29;387.12;278.43
4.12;150.86;100.45;103.64;4.11;183.71;4.04;420.98;19.52;4;20.19;199.75;387.43;278.55
4.11;150.59;100.18;103.22;4.1;182.46;4.03;420.39;19.43;3.99;20.08;199.15;387.19;278.03
4.12;150.82;100.43;103.36;4.11;182.43;4.04;420.3;19.42;4;20.09;199.53;387;278.18
4.13;151.12;100.57;103.69;4.12;183.23;4.05;420.32;19.42;4.01;20.13;199.56;386.97;278.28
4.13;151.61;100.89;103.82;4.12;183.12;4.06;420.22;19.48;4.02;20.19;200.02;387.13;278.45
4.12;151.79;101.26;104.26;4.12;183.47;4.05;420.24;19.45;4.01;20.14;200.63;387.15;278.46
4.11;150.9;100.3;103.01;4.1;182.53;4.04;420.06;19.45;4;20.11;199.68;387.26;278.13
4.12;151.48;100.91;103.65;4.11;182.74;4.04;419.41;19.44;4;20.13;200.17;386.5;277.88
4.11;152.21;101.28;104.33;4.11;182.08;4.04;420.15;19.41;4;20.09;200.74;387.37;278.35
4.1;151.16;100.38;103.06;4.1;181.59;4.03;419.45;19.44;3.99;20.1;199.87;386.76;277.76
4.12;152.04;101.37;104.26;4.12;182.24;4.05;419.16;19.33;4.01;20.03;200.74;386.31;277.95
4.11;151.6;100.66;103.78;4.11;181.56;4.04;419.99;19.36;4;20.03;200.55;387.26;278.24
4.11;150.75;100.35;103.04;4.1;183.84;4.03;420.08;19.36;4;20.01;200.16;387.49;278.18
4.1;151.1;100.18;103.04;4.1;183.7;4.03;420.07;19.44;3.99;20.09;199.72;387.33;278.07
4.11;151.56;100.84;103.76;4.1;184.32;4.04;420.21;19.47;3.99;20.14;200.49;387.51;278.27
4.11;151.94;100.79;104.14;4.1;183.23;4.03;420.61;19.52;3.99;20.17;200.52;387.68;278.37
